Star ID,True Star ID,RA,DE,Magnitude,RA (deg),DE (deg)
1,307,0.47478673,1.55384598,2.1,27.2032758,89.02881667
101,65484,-1.92248111,0.55313421,3,-110.1500538,31.69225574
105,66484,-1.59463584,0.65024025,4,-91.36590349,37.25602199
11,14572,2.20839645,1.06268522,3.5,126.5317961,60.88737806
110,69115,-1.07150663,0.60998404,4,-61.39280762,34.94951106
111,70473,-0.85439916,0.58960689,2.6,-48.95346589,33.78198637
115,74995,0.48094294,0.51201241,3.6,27.55600065,29.33615015
119,76130,0.96822541,0.41814123,3.8,55.47522961,23.95772772
123,77167,1.40991406,0.49859083,1.8,80.78212511,28.56715026
125,78134,1.62253865,0.39310322,3.7,92.96461674,22.52315542
128,79030,1.83758641,0.36033025,3.9,105.2859458,20.64540256
133,81003,2.54388983,0.41897414,3.1,145.7541508,24.00544995
137,81726,2.9297595,0.36299295,2.6,167.8628543,20.79796403
139,83830,-2.24377026,0.51098034,3.7,-128.5585661,29.2770169
141,83957,-2.17886437,0.46168986,3.9,-124.8397325,26.45288042
142,84410,-1.97192352,0.37694341,2.8,-112.9828952,21.59726651
143,84950,-1.77597759,0.43453259,3.2,-101.7560204,24.89688347
144,85396,-1.63842797,0.48430657,3.5,-93.87500772,27.74872245
148,87300,-1.18375341,0.48613451,3.2,-67.82407438,27.8534557
149,90237,-0.5031758,0.43808108,4,-28.82984969,25.10019697
15,17073,-1.99269505,1.07559357,2.9,-114.1730162,61.62697203
153,91780,0.0465019,0.26015379,2.9,2.664362609,14.90571419
154,92483,0.38747743,0.26334783,3.7,22.2008214,15.0887192
155,93718,1.03806207,0.21555849,4,59.47657548,12.35059172
156,93867,1.1211305,0.27067448,3.9,64.23604593,15.50850533
168,99511,2.93048534,0.27407186,3.4,167.9044419,15.70316086
171,100383,-2.8811597,0.19595636,3,-165.0782909,11.2274724
172,100765,-2.65157924,0.32546197,2.8,-151.9242995,18.64759727
178,102679,-1.77863973,0.252129,3.5,-101.9085498,14.44592759
180,104460,-1.29542351,0.24064144,3,-74.22229981,13.78773889
181,105222,-1.11752653,0.18308688,2.8,-64.02955366,10.49010551
182,105258,-1.11196169,0.32130876,3.8,-63.71071182,18.40963587
184,106229,-0.91270538,0.19429311,4,-52.29416621,11.13217519
187,108102,-0.3535749,0.18447835,3.6,-20.25834951,10.56983087
189,110664,0.68467704,0.00198774,4,39.22910472,0.113889113
192,111171,0.88190913,0.15453557,3.8,50.52967106,8.854235946
194,111578,1.04934896,0.10213798,3.9,60.12326664,5.852075182
195,112105,1.25281116,0.12000234,3.3,71.78079199,6.875627614
198,112739,1.40694104,0.110061,1.7,80.61178362,6.306030789
2,7592,-3.00476247,1.22284051,3.9,-172.160208,70.06360024
201,115455,1.93923221,0.14646168,3.1,111.1098211,8.391636124
202,115755,1.99266547,0.09345661,0.5,114.1713214,5.354669321
204,117111,2.28694529,0.1152519,3.5,131.0323131,6.603447451
208,119075,3.08962454,0.03571918,3.8,177.0224464,2.046558262
209,119673,-2.90997392,0.06403225,3.7,-166.7292241,3.668777678
210,120647,-2.42723789,0.0366954,3.8,-139.070487,2.102491548
211,121156,-2.17379659,0.11487141,2.8,-124.5493701,6.58164698
213,121657,-1.97052464,0.03651161,3.9,-112.9027453,2.091961156
215,122670,-1.65369648,0.08005166,2.9,-94.7498289,4.586622261
219,124602,-1.20874253,0.05259734,3.4,-69.25584549,3.013605596
223,127028,-0.60331988,0.1683355,2.5,-34.56768282,9.644913692
225,128084,-0.19821624,0.05251332,3.9,-11.35695398,3.008791604
227,128693,0.07365173,-0.15884164,3.8,4.219933283,-9.100955583
228,129273,0.35570996,-0.14732111,3.8,20.38067944,-8.440877836
230,130196,0.75914202,-0.15875655,4,43.4956338,-9.096080285
231,130563,0.91879623,-0.16801102,3.8,52.64314621,-9.626322358
233,131793,1.33251271,-0.08987738,2.9,76.34735443,-5.149594548
242,132541,1.50702004,-0.16905186,2.2,86.34588793,-9.685958097
243,135895,2.19545825,-0.06531148,4,125.7904918,-3.742072158
245,138720,-3.06590637,-0.00679054,4,-175.6634954,-0.389069283
247,139419,-2.73954485,-0.00595114,3.4,-156.9643577,-0.340975205
248,140089,-2.44162231,-0.09497946,4,-139.8946535,-5.441922198
251,141051,-2.04324786,-0.06225691,3,-117.0694789,-3.567058189
253,142003,-1.58706191,-0.17050461,3.5,-90.93194927,-9.769194541
255,143020,-1.29331166,-0.08655253,3.5,-74.10129971,-4.959094675
256,144149,-1.00912799,-0.01694938,3.4,-57.81877482,-0.971127939
257,144809,-0.85097759,-0.16894889,3.8,-48.75742437,-9.68005835
259,145861,-0.50956735,-0.00983488,3.2,-29.19605853,-0.563497116
26,23654,0.72881569,0.97196625,4,41.75806308,55.68956395
261,146361,-0.30540534,-0.1369412,3.8,-17.49843702,-7.846152801
266,149282,1.02841142,-0.23822857,3.2,58.92363397,-13.64949162
268,150236,1.35561272,-0.28384857,3.3,77.67088751,-16.26332508
